,prova_realizada_em,dia_da_prova_realizada,nota,nota_redacao,horario_da_prova,sexo,estado_civil,escolaridade,cidade_de_nascimento,bairro
3681,GO - Goiás,06/01/2017,"2,75",0,Noite,Masculino,Solteiro(a),Superior,LUZIANIA,Setor Mandu II
3682,GO - Goiás,16/01/2017,"2,75",0,Noite,Masculino,Solteiro(a),Ensino médio,Cristalina ,Belvedere 
3683,GO - Goiás,09/01/2017,"2,75",0,Noite,Feminino,Solteiro(a),Ensino médio,Cristalina,Cidade nova
3684,GO - Goiás,12/01/2017,"2,75",0,Noite,Feminino,Solteiro(a),Ensino médio,CRISTALINA,Centro
3685,GO - Goiás,06/01/2017,"2,75",0,Noite,Masculino,Solteiro(a),Ensino médio,Cristalina,Aeroporto 
3686,GO - Goiás,14/01/2017,"2,75",0,manhã,Feminino,Solteiro(a),Ensino médio,Cristalina,St lustosa
3687,GO - Goiás,15/01/2017,"2,75",0,manhã,Masculino,Solteiro(a),Superior incompleto,Cristalina,DNER
3688,GO - Goiás,09/01/2017,"2,75",0,Noite,Feminino,Solteiro(a),Ensino médio,CRISTALINA,Centro
3689,GO - Goiás,05/01/2017,"2,5",0,Noite,Feminino,Solteiro(a),Superior incompleto,Cristalina,Santa Clara
3690,GO - Goiás,05/01/2017,"2,5",0,Noite,Feminino,Solteiro(a),Ensino médio,ARARAS,Centro
3691,GO - Goiás,05/01/2017,"2,5",0,manhã,Masculino,Solteiro(a),Ensino médio,cristalina,centro
3692,GO - Goiás,12/01/2017,"2,5",0,Noite,Feminino,Solteiro(a),Ensino médio,LAGOA GRANDE,CRISTAL
3693,GO - Goiás,15/01/2017,"2,5",0,Noite,Feminino,Solteiro(a),Superior incompleto,JOAO PINHEIRO,Centro
3694,GO - Goiás,09/01/2017,"2,5",0,Noite,Masculino,Solteiro(a),Ensino médio,Santa Rosa,Setor Oeste
3695,GO - Goiás,#N/A,"2,5",0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3696,GO - Goiás,15/01/2017,"2,5",0,Noite,Masculino,Solteiro(a),Ensino médio,Cristalina ,Centro
3697,GO - Goiás,13/01/2017,"2,5",0,manhã,Feminino,Solteiro(a),Ensino médio,BREJO,Centro
3698,GO - Goiás,12/01/2017,"2,5",0,Noite,Feminino,Solteiro(a),Ensino médio,fortaleza,Centro
3699,GO - Goiás,14/01/2017,"2,25",0,Noite,Feminino,Divorciado(a),Superior,João pinheiro,Centro
3700,GO - Goiás,09/01/2017,"2,25",0,Noite,Masculino,Solteiro(a),Ensino médio,TAGUATINGA,RIO DE JANEIRO
3701,GO - Goiás,13/01/2017,"2,25",0,Noite,Masculino,Solteiro(a),Superior,BRASÍLIA,SETOR AEROPORTO
3702,GO - Goiás,09/01/2017,"2,25",0,Noite,Feminino,Solteiro(a),Ensino médio,BOA VIAGEM,SETOR NORTE
3703,GO - Goiás,15/01/2017,"2,25",0,Noite,Feminino,Solteiro(a),Ensino médio,cristalina,centro
3704,GO - Goiás,14/01/2017,"2,25",0,Noite,Masculino,Solteiro(a),Ensino médio,Cristalina,Sul novo
3705,GO - Goiás,14/01/2017,2,0,Noite,Masculino,Solteiro(a),Ensino médio,Cristalina - Go,Belvedere 
3706,GO - Goiás,05/01/2017,2,0,manhã,Masculino,Solteiro(a),Ensino médio,cristalina,Rio de janeiro
3707,GO - Goiás,16/01/2017,"1,75",0,manhã,Feminino,Solteiro(a),Ensino médio,CRISTALINA,SETOR NORTE
3708,GO - Goiás,13/01/2017,"5,4","1,9",manhã,Masculino,Casado(a),Ensino médio,Itumbiara,Afonso Pena
3709,GO - Goiás,15/01/2017,"5,3","1,8",manhã,Feminino,Casado(a),Ensino médio,ITUMBIARA,Afonso Pena
3710,GO - Goiás,15/01/2017,"5,3","1,8",Noite,Feminino,Casado(a),Superior,Capinópolis,Jardim América
3711,GO - Goiás,15/01/2017,"5,3","1,8",Noite,Masculino,Casado(a),Superior,ITUMBIARA-GO,Jardim América
3712,GO - Goiás,09/01/2017,"5,3","1,8",Noite,Masculino,Solteiro(a),Especialização,FRUTAL ,Estudantil
3713,GO - Goiás,17/01/2017,"5,3","1,8",Noite,Masculino,Solteiro(a),Ensino médio,Itumbiara GO,Santos Dumont
3714,GO - Goiás,09/01/2017,"5,25",2,manhã,Feminino,Solteiro(a),Ensino médio,ITUMBIARA,Vila Vitória I
3715,GO - Goiás,16/01/2017,"5,2","1,7",Noite,Masculino,Solteiro(a),Ensino médio,Goiania,AEROPORTO
3716,GO - Goiás,06/01/2017,"5,2","1,7",manhã,Masculino,Solteiro(a),Superior incompleto,Itumbiara,Setor Central
3717,GO - Goiás,14/01/2017,"5,2","1,7",Noite,Feminino,Solteiro(a),Superior,ITUMBIARA,Setor Central - ALMERINDONOPOLIS
3718,GO - Goiás,09/01/2017,"5,15","1,9",Noite,Feminino,Solteiro(a),Superior,itumbiara,Centro
3719,GO - Goiás,15/01/2017,"5,05","1,8",Noite,Feminino,Solteiro(a),Nível técnico,itumbiara,Setor Brasília
3720,GO - Goiás,13/01/2017,"5,05","1,8",manhã,Feminino,Solteiro(a),Ensino médio,Tauá,Jardim América
3721,GO - Goiás,17/01/2017,5,"1,5",manhã,Feminino,Solteiro(a),Superior incompleto,Uberaba,Conjunto Pontal
3722,GO - Goiás,17/01/2017,5,"1,5",Noite,Masculino,Divorciado(a),Ensino médio,Uberlandia ,Ferreira da costa 
3723,GO - Goiás,14/01/2017,"4,95","1,7",Noite,Masculino,Casado(a),Superior,itumbiara,Santa Inês
3724,GO - Goiás,09/01/2017,"4,95","1,7",manhã,Masculino,Casado(a),Ensino médio,ITUMBIARA,Conjunto Habitacional Morada dos Sonhos
3725,GO - Goiás,09/01/2017,"4,95","1,7",manhã,Feminino,Casado(a),Superior incompleto,Itumbiara ,Dona Marolina
3726,GO - Goiás,15/01/2017,"4,95","1,7",Noite,Feminino,Solteiro(a),Ensino médio,Cachoeira Dourada,Setor Central
3727,GO - Goiás,12/01/2017,"4,85","1,6",manhã,Feminino,Casado(a),Ensino médio,ITUMBIARA,Brasília
3728,GO - Goiás,12/01/2017,"4,8","1,3",Noite,Masculino,Solteiro(a),Superior incompleto,Itumbiara,Cidade Jardim
3729,GO - Goiás,12/01/2017,"4,75","1,5",Noite,Masculino,Solteiro(a),Ensino médio,Belo horizonte,Centro
3730,GO - Goiás,14/01/2017,"4,7","1,2",Noite,Masculino,Casado(a),Ensino médio,BARRA DO GARSÇA,Setor Central
3731,GO - Goiás,12/01/2017,"4,7","1,2",Noite,Masculino,Casado(a),Ensino médio,IPIACU,SEMIRAMIS
3732,GO - Goiás,17/01/2017,"4,55","1,3",Noite,Feminino,Solteiro(a),Ensino médio,MOIPORA,Santos Dumont
3733,GO - Goiás,14/01/2017,"4,5",1,Noite,Masculino,Casado(a),Ensino médio,iTUMBIARA,José Inácio
3734,GO - Goiás,13/01/2017,"4,5",1,Noite,Feminino,Casado(a),Ensino médio,Itumbiara ,Centro 
3735,GO - Goiás,05/01/2017,"4,25",1,Noite,Masculino,Casado(a),Ensino médio,planalto pr,Santos Dumont
3736,GO - Goiás,12/01/2017,"4,25",0,Noite,Masculino,Casado(a),Especialização,SÃO JOSÉ DA BARRA,Setor Central
3737,GO - Goiás,12/01/2017,"4,25",0,Noite,Masculino,Casado(a),Nível técnico,itumbiaria,Segismundo Pereira
3738,GO - Goiás,12/01/2017,"4,25",0,Noite,Masculino,Solteiro(a),Superior,UBERLÂNDIA,VALE DO SOL
3739,GO - Goiás,15/01/2017,4,0,Noite,Masculino,Solteiro(a),Ensino médio,GOIATUBA,Afonso Pena
3740,GO - Goiás,17/01/2017,"3,75",0,Noite,Masculino,Solteiro(a),Ensino médio,ITUMBIARA,Setor Paranaíba
3741,GO - Goiás,14/01/2017,"3,75",0,Noite,Feminino,Casado(a),Ensino médio,Ituiutaba,Scenteoetor Central
3742,GO - Goiás,06/01/2017,"3,5",0,manhã,Masculino,Solteiro(a),Ensino médio,ITUMBIARA ,PLANALTO 
3743,GO - Goiás,#N/A,"3,5",0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3744,GO - Goiás,12/01/2017,"3,25",0,manhã,Masculino,Casado(a),Superior,UBERLANDIA,SANTA INES
3745,GO - Goiás,13/01/2017,"3,25",0,manhã,Masculino,Solteiro(a),Ensino médio,Bom Jesus,Dona eleontina
3746,GO - Goiás,14/01/2017,3,0,manhã,Masculino,Solteiro(a),Superior incompleto,Goiatuba,Setor Central
3747,GO - Goiás,13/01/2017,3,0,manhã,Feminino,Casado(a),Superior,BURITI ALEGRE,Paranaíba
3748,GO - Goiás,17/01/2017,3,0,Noite,Feminino,Divorciado(a),Superior,itumbiara,Ferreira da Costa
3749,GO - Goiás,14/01/2017,3,0,Noite,Feminino,Casado(a),Ensino médio,Itumbiara,Dona Marolina
3750,GO - Goiás,14/01/2017,3,0,Noite,Feminino,Solteiro(a),Superior incompleto,ITUMBIARA,Cidade Jardim
3751,GO - Goiás,13/01/2017,3,0,manhã,Masculino,Casado(a),Superior incompleto,Morrinhos,Parque das Brisas
3752,GO - Goiás,13/01/2017,3,0,Noite,Masculino,Solteiro(a),Ensino médio,Itumbiara,Nossa Senhora da Saúde
3753,GO - Goiás,14/01/2017,"2,75",0,manhã,Feminino,Solteiro(a),Ensino médio,Itumbiara-Go,Morada dos sonhos 2
3754,GO - Goiás,17/01/2017,"2,75",0,manhã,Feminino,Solteiro(a),Ensino médio,Itumbiara,Jose aparecido
3755,GO - Goiás,15/01/2017,"2,75",0,manhã,Feminino,Casado(a),Ensino médio,Itumbiara,Conjunto Habitacional Dionária Rocha
3756,GO - Goiás,15/01/2017,"2,75",0,Noite,Feminino,Divorciado(a),Superior,Itumbiara,Setor Central
3757,GO - Goiás,15/01/2017,"2,75",0,manhã,Masculino,Solteiro(a),Ensino médio,bom Jesus de Goiás ,Setoalvorada r Central
3758,GO - Goiás,16/01/2017,"2,75",0,Noite,Feminino,Solteiro(a),Ensino médio,itumbiara,Novo Horizonte
3759,GO - Goiás,17/01/2017,"2,75",0,manhã,Masculino,Solteiro(a),Ensino médio,Itumbiara,Jardim Bandeirantes
3760,GO - Goiás,12/01/2017,"2,75",0,Noite,Masculino,Solteiro(a),Superior,Itumbiara,Zequinha Cachoeira
3761,GO - Goiás,13/01/2017,"2,75",0,manhã,Feminino,Solteiro(a),Ensino médio,Morro do chapéu ,Dona Eleontina 
3762,GO - Goiás,16/01/2017,"2,5",0,Noite,Masculino,Casado(a),Ensino médio,bom jesus,samir almeida brasill
3763,GO - Goiás,17/01/2017,"2,5",0,manhã,Masculino,Solteiro(a),Nível técnico,Itumbiara,Setor Anhanguera
3764,GO - Goiás,16/01/2017,"2,5",0,manhã,Feminino,Solteiro(a),Nível técnico,Centralina ,Centro 
3765,GO - Goiás,05/01/2017,"2,5",0,Noite,Feminino,Casado(a),Ensino médio,BENTO DE ABREU,SOCIAL
3766,GO - Goiás,14/01/2017,"2,5",0,manhã,Feminino,Solteiro(a),Nível técnico,Casa branca,JARDIM PRIMAVERA
3767,GO - Goiás,16/01/2017,"2,5",0,manhã,Feminino,Solteiro(a),Superior,Belo Horizonte ,Nova Aurora
3768,GO - Goiás,16/01/2017,"2,5",0,Noite,Feminino,Solteiro(a),Ensino médio,Itumbiara,Zona rural
3769,GO - Goiás,15/01/2017,"2,5",0,Noite,Feminino,Casado(a),Superior,Piracanjuba,Jardim Morumbi
3770,GO - Goiás,16/01/2017,"2,25",0,Noite,Feminino,Solteiro(a),Superior,ITUMBIARA,Setor Luz
3771,GO - Goiás,14/01/2017,"2,25",0,Noite,Masculino,Casado(a),Ensino médio,uberlandia,Setor Central
3772,GO - Goiás,17/01/2017,"2,25",0,Noite,Feminino,Solteiro(a),Ensino médio,ITUMBIARA,Santos Dumont
3773,GO - Goiás,17/01/2017,"2,25",0,manhã,Feminino,Solteiro(a),Ensino médio,Goiatuba,Setor Oeste
3774,GO - Goiás,14/01/2017,"2,25",0,Noite,Masculino,Solteiro(a),Superior incompleto,Itumbiara ,vila operaria
3775,GO - Goiás,15/01/2017,"2,25",0,manhã,Feminino,Solteiro(a),Ensino médio,Itumbiara,Zenon Borges Guimarães
3776,GO - Goiás,17/01/2017,2,0,Noite,Feminino,Solteiro(a),Superior,ITUMBIARA,Setor Santos Dumont
3777,GO - Goiás,17/01/2017,2,0,manhã,Feminino,Casado(a),Superior,Itumbiara,Dom Bosco
3778,GO - Goiás,12/01/2017,2,0,Noite,Feminino,Solteiro(a),Superior incompleto,ITUMBIARA,Brasília
3779,GO - Goiás,17/01/2017,"1,75",0,manhã,Feminino,Casado(a),Ensino médio,itumbiara,ferreira da costa
3780,GO - Goiás,12/01/2017,"1,5",0,Noite,Masculino,Casado(a),Ensino médio,Atalaia,Suleste 
3781,GO - Goiás,05/01/2017,"4,7","0,7",manhã,Masculino,Solteiro(a),Ensino médio,ACREÚNA / GO,novo horizonte
3782,GO - Goiás,12/01/2017,"4,25",0,manhã,Masculino,Solteiro(a),Ensino médio,ACREÚNA,Setor Novo Horizonte
3783,GO - Goiás,14/01/2017,4,0,Noite,Masculino,Solteiro(a),Ensino médio,Santa Helena de Goias,Blandina
3784,GO - Goiás,05/01/2017,"3,5",0,Noite,Masculino,Casado(a),Nível técnico,Santa Helena de Goiás ,Residencial Cohacol 5
3785,GO - Goiás,14/01/2017,"3,5",0,Noite,Feminino,Solteiro(a),Ensino médio,RIO VERDE,Setor Central
3786,GO - Goiás,16/01/2017,"3,5",0,manhã,Masculino,Casado(a),Ensino médio,Santa Vitoria,Pedro Cardoso
3787,GO - Goiás,13/01/2017,"3,5",0,Noite,Feminino,Casado(a),Superior,Goiatuba ,Setor Central
3788,GO - Goiás,06/01/2017,"3,5",0,manhã,Masculino,Solteiro(a),Superior,Maurilândia,Setor Central
3789,GO - Goiás,16/01/2017,"3,5",0,Noite,Masculino,Casado(a),Ensino médio,RIO VERDE GOIAS,SETOR CENTRAL
3790,GO - Goiás,16/01/2017,"3,5",0,Noite,Feminino,Solteiro(a),Ensino médio,acreuna,Centro 
3791,GO - Goiás,13/01/2017,"3,5",0,manhã,Feminino,Solteiro(a),Superior,Rio Verde,Jardim Goiás
3792,GO - Goiás,09/01/2017,"3,5",0,Noite,Feminino,Solteiro(a),Superior incompleto,Jatai-Go,Setor Aeroporto
3793,GO - Goiás,13/01/2017,"3,5",0,Noite,Feminino,Solteiro(a),Superior,Acreúna,Setor Morada do Sol
3794,GO - Goiás,13/01/2017,"3,5",0,Noite,Feminino,Solteiro(a),Superior incompleto,GUAPÓ,Setor Central
3795,GO - Goiás,12/01/2017,"3,5",0,manhã,Feminino,Solteiro(a),Ensino médio,ACREÚNA,Setor Novo Horizonte
3796,GO - Goiás,16/01/2017,"3,5",0,Noite,Masculino,Solteiro(a),Superior incompleto,SANTA HELENA DE GOIÁS,Setor Central
3797,GO - Goiás,16/01/2017,"3,5",0,manhã,Feminino,Solteiro(a),Superior incompleto,NOVO SÃO JOAQUIM,Setor Morada do Sol
3798,GO - Goiás,09/01/2017,"3,5",0,Noite,Feminino,Solteiro(a),Ensino médio,Jatai,CONJUNTO RIO CLARO III
3799,GO - Goiás,15/01/2017,"3,5",0,Noite,Masculino,Solteiro(a),Superior,Santa Helena de Goiás,Brasil
3800,GO - Goiás,14/01/2017,"3,25",0,manhã,Masculino,Solteiro(a),Ensino médio,capanema,Setor Central
3801,GO - Goiás,09/01/2017,"3,25",0,Noite,Feminino,Solteiro(a),Superior,Bandeirantes ,Jardim Vitória 
3802,GO - Goiás,09/01/2017,"3,25",0,Noite,Masculino,Solteiro(a),Nível técnico,Jatai,Setor Aeroporto
3803,GO - Goiás,12/01/2017,"3,25",0,Noite,Feminino,Divorciado(a),Ensino médio,Rio Verde,Setor Central
3804,GO - Goiás,16/01/2017,"3,25",0,manhã,Feminino,Divorciado(a),Ensino médio,ITUMBIARA ,Setor Central
3805,GO - Goiás,09/01/2017,"3,25",0,Noite,Masculino,Solteiro(a),Ensino médio,BRAZLANDIA,NOVA ACREÚNA
3806,GO - Goiás,15/01/2017,"3,25",0,manhã,Masculino,Casado(a),Ensino médio,Rio verde,Vila Maria
3807,GO - Goiás,15/01/2017,"3,25",0,Noite,Feminino,Divorciado(a),Superior,RIO VERDE,Jardim Goiás
3808,GO - Goiás,13/01/2017,"3,25",0,manhã,Feminino,Solteiro(a),Superior incompleto,Contagem,Inconfidentes
3809,GO - Goiás,05/01/2017,"3,25",0,Noite,Masculino,Solteiro(a),Superior,Rio Verde,Jardim Bela Vista
3810,GO - Goiás,12/01/2017,"3,25",0,Noite,Masculino,Solteiro(a),Nível técnico,Mariana Pa,Jardim Goiás
3811,GO - Goiás,16/01/2017,"3,25",0,Noite,Feminino,Solteiro(a),Superior incompleto,Quirinopolis,Alvorada 2
3812,GO - Goiás,15/01/2017,"3,25",0,Noite,Masculino,Solteiro(a),Ensino médio,Jatai,Vila Santa Maria
3813,GO - Goiás,09/01/2017,3,0,Noite,Feminino,Divorciado(a),Ensino médio,Jatai,CONJUNTO RIO CLARO III
3814,GO - Goiás,15/01/2017,3,0,manhã,Feminino,Casado(a),Ensino médio,ituiutaba,Setor Central
3815,GO - Goiás,09/01/2017,3,0,Noite,Masculino,Casado(a),Superior incompleto,Araxa,Setor Epaminondas I
3816,GO - Goiás,14/01/2017,3,0,Noite,Masculino,Solteiro(a),Nível técnico,QUIRINÓPOLIS,Setor Central
3817,GO - Goiás,11/08/2016,3,0,manhã,Masculino,Solteiro(a),Ensino médio,Sobradinho,Residencial Recanto da Mata
3818,GO - Goiás,16/01/2017,3,0,Noite,Masculino,Solteiro(a),Ensino médio,Itaberaba ,Conjunto Morada do Sol
3819,GO - Goiás,06/01/2017,3,0,manhã,Masculino,Solteiro(a),Superior,rio verde go,Jardim Presidente
3820,GO - Goiás,09/01/2017,3,0,Noite,Masculino,Casado(a),Ensino médio,Quirinópolis,Residencial Portal do Sol - 1ª Etapa
3821,GO - Goiás,09/01/2017,3,0,manhã,Feminino,Divorciado(a),Superior,Osasco,Vila Santa Bárbara
3822,GO - Goiás,15/01/2017,3,0,Noite,Masculino,Solteiro(a),Superior incompleto,Conselheiro Lafaiete,Setor Central
3823,GO - Goiás,16/01/2017,3,0,manhã,Feminino,Solteiro(a),Ensino médio,JATAI,Setor Rodoviário
3824,GO - Goiás,16/01/2017,3,0,Noite,Masculino,Solteiro(a),Superior,Jataí,Santa Maria
3825,GO - Goiás,15/01/2017,3,0,manhã,Masculino,Solteiro(a),Superior incompleto,Rio Verde,Jardim América
3826,GO - Goiás,15/01/2017,3,0,Noite,Masculino,Solteiro(a),Ensino médio,São nicolau,Vila Santa Maria
3827,GO - Goiás,16/01/2017,3,0,manhã,Masculino,Solteiro(a),Superior incompleto,JATAÍ,Vila Santa Maria
3828,GO - Goiás,14/01/2017,3,0,Noite,Feminino,Casado(a),Nível técnico,PARAUNA,Setor Central
3829,GO - Goiás,06/01/2017,3,0,Noite,Masculino,Solteiro(a),Superior incompleto,Jataí-GO,Vila Santa Maria
3830,GO - Goiás,16/01/2017,3,0,manhã,Masculino,Casado(a),Superior,JATAÍ,Vila Progresso
3831,GO - Goiás,16/01/2017,3,0,manhã,Feminino,Casado(a),Ensino médio,jatai go,Setor arco ires
3832,GO - Goiás,15/01/2017,3,0,manhã,Feminino,Solteiro(a),Superior incompleto,Itapuranga ,Parque são jose 
3833,GO - Goiás,16/01/2017,3,0,manhã,Masculino,Solteiro(a),Ensino médio,Rio verde,Residencial Gameleira II
3834,GO - Goiás,14/01/2017,3,0,manhã,Feminino,Solteiro(a),Ensino médio,Jatai,Santo Antônio
3835,GO - Goiás,12/01/2017,3,0,Noite,Masculino,Solteiro(a),Ensino médio,RIO VERDE ,Primavera
3836,GO - Goiás,13/01/2017,3,0,Noite,Feminino,Solteiro(a),Superior incompleto,Goiatuba,Setor Central
3837,GO - Goiás,05/01/2017,"2,75",0,manhã,Masculino,Solteiro(a),Nível técnico,SANTA HELENA ,OURO BRANCO 2
3838,GO - Goiás,15/01/2017,"2,75",0,Noite,Masculino,Casado(a),Ensino médio,Amorinopolis,Pontal das Nascentes 2
3839,GO - Goiás,14/01/2017,"2,75",0,Noite,Masculino,Solteiro(a),Superior,MINEIROS,BAIRRO MARTINS II
3840,GO - Goiás,09/01/2017,"2,75",0,Noite,Masculino,Solteiro(a),Ensino médio,Rio Verde ,Vila Borges
3841,GO - Goiás,15/01/2017,"2,75",0,manhã,Feminino,Solteiro(a),Superior,Mineiros,Costa Nery
3842,GO - Goiás,16/01/2017,"2,75",0,Noite,Feminino,Solteiro(a),Superior,Anicuns, Lt. 09-A
3843,GO - Goiás,16/01/2017,"2,75",0,manhã,Feminino,Solteiro(a),Superior,Jatai,Residencial Maranata
3844,GO - Goiás,15/01/2017,"2,75",0,manhã,Masculino,Solteiro(a),Superior,santa helena de goias,Ipeguary
3845,GO - Goiás,14/01/2017,"2,75",0,Noite,Feminino,Solteiro(a),Superior,ITUMBIARA,JARDIM VITORIA
3846,GO - Goiás,13/01/2017,"2,75",0,Noite,Masculino,Solteiro(a),Superior,JATAI,GAMELEIRA 1
3847,GO - Goiás,16/01/2017,"2,75",0,Noite,Feminino,Solteiro(a),Ensino médio,RIO VEDE,Conjunto Morada do Sol
3848,GO - Goiás,16/01/2017,"2,75",0,Noite,Feminino,Solteiro(a),Ensino médio,PIRANHAS,Residencial Canaã
3849,GO - Goiás,15/01/2017,"2,75",0,manhã,Feminino,Solteiro(a),Ensino médio,Mineiros ,Alcira de Resende
3850,GO - Goiás,15/01/2017,"2,75",0,Noite,Masculino,Casado(a),Superior incompleto,Rio verde,Vila Rosalina borges
3851,GO - Goiás,05/01/2017,"2,75",0,manhã,Feminino,Solteiro(a),Ensino médio,sao simao,centro
3852,GO - Goiás,16/01/2017,"2,75",0,Noite,Masculino,Solteiro(a),Ensino médio,Jatai ,Setor Epaminondas I
3853,GO - Goiás,13/01/2017,"2,5",0,Noite,Masculino,Casado(a),Nível técnico,MONTE CARMELO ,Sona rural 
3854,GO - Goiás,09/01/2017,"2,5",0,manhã,Feminino,Solteiro(a),Ensino médio,redenção,Centro
3855,GO - Goiás,07/01/2017,"2,5",0,Noite,Masculino,Solteiro(a),Superior incompleto,Rio verde,Conjunto Morada do Sol
3856,GO - Goiás,12/01/2017,"2,5",0,manhã,Feminino,Divorciado(a),Ensino médio,1969,Central
3857,GO - Goiás,09/01/2017,"2,5",0,Noite,Feminino,Solteiro(a),Ensino médio,ACREÚNA,NOVA ACREÚNA
3858,GO - Goiás,16/01/2017,"2,5",0,manhã,Masculino,Casado(a),Nível técnico,SÃO JOSÉ DAS PALMEIRAS,Residencial Maranata
3859,GO - Goiás,12/01/2017,"2,5",0,manhã,Masculino,Solteiro(a),Ensino médio,parauna ,Setor Pausanes
3860,GO - Goiás,09/01/2017,"2,5",0,Noite,Feminino,Casado(a),Superior incompleto,Pitanga,Vitória Regia
3861,GO - Goiás,12/01/2017,"2,5",0,manhã,Masculino,Solteiro(a),Ensino médio,Santa Helena de Goiás,Zona rural
3862,GO - Goiás,05/01/2017,"2,5",0,manhã,Feminino,Solteiro(a),Ensino médio,Carmo da mata,Jardim Goiás
3863,GO - Goiás,07/01/2017,"2,5",0,manhã,Masculino,Solteiro(a),Ensino médio,Montividiu-go,Vila Multirão
3864,GO - Goiás,09/01/2017,"2,5",0,Noite,Feminino,Solteiro(a),Nível técnico,Monitividiu ,Centro
3865,GO - Goiás,15/01/2017,"2,5",0,Noite,Masculino,Casado(a),Ensino médio,rio verde,Setor dos Funcionários
3866,GO - Goiás,16/01/2017,"2,25",0,Noite,Masculino,Casado(a),Ensino médio,Santa Helena de goias,Parque industrial ipeguary
3867,GO - Goiás,15/01/2017,"2,25",0,manhã,Masculino,Casado(a),Ensino médio,Ituiutaba,Vila Bela
3868,GO - Goiás,16/01/2017,"2,25",0,manhã,Feminino,Solteiro(a),Ensino médio,Caçu,Santa Luzia 
3869,GO - Goiás,15/01/2017,"2,25",0,Noite,Feminino,Solteiro(a),Ensino médio,SANTA HELENA ,pedrolina
3870,GO - Goiás,15/01/2017,"2,25",0,Noite,Masculino,Solteiro(a),Ensino médio,Rio verde,Residencial Recanto do Bosque
3871,GO - Goiás,12/01/2017,2,0,Noite,Masculino,Solteiro(a),Nível técnico,PORANGATU,Vila Santa Maria
3872,GO - Goiás,15/01/2017,2,0,manhã,Feminino,Solteiro(a),Ensino médio,Paranaiguara ,Setor Central
3873,GO - Goiás,05/01/2017,2,0,manhã,Feminino,Solteiro(a),Ensino médio,Piranhas ,Setor Pausanes
3874,GO - Goiás,05/01/2017,2,0,manhã,Masculino,Solteiro(a),Ensino médio,Xique xique,Jardim América
3875,GO - Goiás,09/01/2017,2,0,manhã,Feminino,Solteiro(a),Ensino médio,Redenção,Setor Central
3876,GO - Goiás,16/01/2017,2,0,manhã,Masculino,Solteiro(a),Nível técnico,Rio Verde,Promissão 
3877,GO - Goiás,15/01/2017,"1,75",0,Noite,Feminino,Solteiro(a),Superior,CAÇU,municipal
3878,GO - Goiás,16/01/2017,"1,75",0,Noite,Feminino,Solteiro(a),Superior,Jataí,José Estevam
3879,GO - Goiás,16/01/2017,"1,75",0,Noite,Feminino,Casado(a),Ensino médio,RIO VERDE,Setor Dona Gercina
3880,GO - Goiás,16/01/2017,"1,25",0,Noite,Masculino,Solteiro(a),Ensino médio,goiatuba,Setor Central
3881,GO - Goiás,15/01/2017,1,0,manhã,Feminino,Casado(a),Ensino médio,RIO VERDE,DONA GERCINA
3882,MS - Mato Grosso do Sul,07/01/2017,"3,75",0,Noite,Feminino,Divorciado(a),Nível técnico,Campo Grande,MORADA VERDE
3883,MS - Mato Grosso do Sul,13/01/2017,"3,75",0,manhã,Masculino,Solteiro(a),Especialização,PRESIDENTE PRUDENTE,Tiradentes
3884,MS - Mato Grosso do Sul,06/01/2017,"3,5",0,Noite,Masculino,Casado(a),Ensino médio,Quirinopolis,Center Park
3885,MS - Mato Grosso do Sul,02/01/2017,"3,5",0,Noite,Masculino,Solteiro(a),Superior,JARDIM,Guanandi II
3886,MS - Mato Grosso do Sul,02/01/2017,"3,5",0,Noite,Feminino,Solteiro(a),Superior incompleto,campo grande,Conjunto Aero Rancho
3887,MS - Mato Grosso do Sul,07/01/2017,"3,5",0,Noite,Masculino,Solteiro(a),Ensino médio,Campo Grande ms,Parque do Lageado
3888,MS - Mato Grosso do Sul,05/01/2017,"3,5",0,Noite,Masculino,Casado(a),Superior,ENCANTADO,Carandá Bosque
3889,MS - Mato Grosso do Sul,07/01/2017,"3,5",0,Noite,Masculino,Casado(a),Superior incompleto,Maracaju,Panamá
3890,MS - Mato Grosso do Sul,13/01/2017,"3,5",0,Noite,Masculino,Casado(a),Superior,Campo Grande,Jardim Anache
3891,MS - Mato Grosso do Sul,03/01/2017,"3,5",0,manhã,Masculino,Separado(a),Ensino médio,ARAL MOREIRA,Vila Bandeirante
3892,MS - Mato Grosso do Sul,03/01/2017,"3,5",0,manhã,Masculino,Solteiro(a),Ensino médio,Campo Grande,Tiradentes
3893,MS - Mato Grosso do Sul,09/01/2017,"3,5",0,Noite,Masculino,Casado(a),Superior incompleto,CAMPO GRANDE,Jardim das Macaúbas
3894,MS - Mato Grosso do Sul,07/01/2017,"3,5",0,manhã,Feminino,Solteiro(a),Superior incompleto,Campo Grande,Jardim Tarumã
3895,MS - Mato Grosso do Sul,15/01/2017,"3,5",0,Noite,Feminino,Solteiro(a),Superior incompleto,Rio Verde de Mato Grosso,Vila Manoel Taveira
3896,MS - Mato Grosso do Sul,13/01/2017,"3,5",0,manhã,Masculino,Solteiro(a),Especialização,Campo Grande,Vila Glória
