dia_da_prova_realizada,nota,nota_redacao,horario_da_prova,sexo,estado_civil,escolaridade,estado_realizado_em,cidade_realizado_em,bairro,cidade_nascimento,estado_nascimento,APROVADO
2017-01-17,4.95,1.2,MANHA,MASCULINO,CASADO,ENSINO MEDIO,GO,GOIAS,VALPARAISO II,BRASILIA,DF,NAO
2017-05-01,4.85,1.1,MANHA,FEMININO,SOLTEIRO,SUPERIOR,GO,GOIAS,CENTRO,ALEXANIA,GO,NAO
2017-10-01,8.7,2.2,MANHA,MASCULINO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,CIDADE NOVA,CARATINGA,MG,SIM
2017-03-01,7.85,1.6,MANHA,MASCULINO,SOLTEIRO,ESPECIALIZACAO,MG,MINAS GERAIS,SANTO ANTONIO,BELO HORIZONTE,MG,SIM
2017-01-15,7.65,1.4,MANHA,MASCULINO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,ELDORADO,CONTAGEM,MG,SIM
2017-01-17,7.5,2.0,MANHA,MASCULINO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,ROSARIO,MARI,PB,SIM
2017-06-01,7.45,2.2,NOITE,MASCULINO,DIVORCIADO,ENSINO MEDIO,MG,MINAS GERAIS,FRIMISA,SANTA LUZIA,MA,SIM
2017-01-17,7.25,2.0,MANHA,MASCULINO,CASADO,ESPECIALIZACAO,MG,MINAS GERAIS,SANTO ANTONIO,BELO HORIZONTE,MG,SIM
2017-10-01,7.1,2.1,MANHA,MASCULINO,CASADO,ESPECIALIZACAO,MG,MINAS GERAIS,CENTRO,RESENDE COSTA,MG,SIM
2017-02-01,7.0,2.0,MANHA,MASCULINO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,CENTRO,PEDRO LEOPOLDO,MG,SIM
2017-03-01,6.9,1.9,MANHA,MASCULINO,CASADO,SUPERIOR,MG,MINAS GERAIS,CENTRO,BELO HORIZONTE,MG,SIM
2017-10-01,6.9,1.9,MANHA,MASCULINO,CASADO,ESPECIALIZACAO,MG,MINAS GERAIS,TEIXEIRA DIAS (BARREIRO),BELO HORIZONTE,MG,SIM
2017-03-01,6.85,2.1,MANHA,MASCULINO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,VARZEA DA OLARIA,ITABUNA,BA,SIM
2017-03-01,6.8,1.8,MANHA,MASCULINO,CASADO,ENSINO MEDIO,MG,MINAS GERAIS,NOVA SUISSA,BELO HORIZONTE,MG,SIM
2017-01-14,6.75,2.0,NOITE,MASCULINO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,CENTRO,PIMENTA BUENO,RO,SIM
2017-08-01,6.75,2.0,MANHA,MASCULINO,SOLTEIRO,SUPERIOR INCOMPLETO,MG,MINAS GERAIS,FUNCIONARIOS,BARBACENA,MG,SIM
2017-10-01,6.7,1.7,MANHA,MASCULINO,CASADO,ESPECIALIZACAO,MG,MINAS GERAIS,MANACAS,BELO HORIZONTE,MG,SIM
2017-01-13,6.65,1.9,NOITE,MASCULINO,CASADO,SUPERIOR,MG,MINAS GERAIS,COQUEIROS,CURVELO,MG,SIM
2017-01-13,6.65,1.9,MANHA,MASCULINO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,VILA SAO PAULO,GOVERNADOR VALADARES,MG,SIM
2017-01-16,6.65,1.4,MANHA,MASCULINO,CASADO,ENSINO MEDIO,MG,MINAS GERAIS,PAPINE (JUSTINOPOLIS),BELO HORIZONTE,MG,SIM
2017-01-15,6.65,1.4,NOITE,FEMININO,CASADO,MBA,MG,MINAS GERAIS,SANTA TEREZINHA,GOVERNADOR VALADARES,MG,SIM
2017-01-16,6.6,1.6,MANHA,MASCULINO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,ELDORADO,BELO HORIZONTE,MG,SIM
2017-03-01,6.55,2.3,MANHA,MASCULINO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,INCONFIDENCIA,MONTES CLAROS,MG,SIM
2017-08-01,6.55,1.3,MANHA,MASCULINO,CASADO,SUPERIOR INCOMPLETO,MG,MINAS GERAIS,FERNAO DIAS,MARIANA,MG,SIM
2017-01-13,6.5,2.0,MANHA,MASCULINO,CASADO,SUPERIOR,MG,MINAS GERAIS,MADRE GERTRUDES,PASSOS,MG,SIM
2017-01-15,6.5,1.5,NOITE,MASCULINO,CASADO,ENSINO MEDIO,MG,MINAS GERAIS,SANTA CRUZ,BELO HORIZONTE,MG,SIM
2017-08-01,6.45,1.7,MANHA,FEMININO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,CENTRO,BELO HORIZONTE,MG,SIM
2017-03-01,6.45,1.7,MANHA,MASCULINO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,HORTO,BELO HORIZONTE,MG,SIM
2017-01-17,6.4,1.9,MANHA,MASCULINO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,CENTRO,IPATINGA,MG,SIM
2017-01-15,6.4,1.4,NOITE,FEMININO,SOLTEIRO,ESPECIALIZACAO,MG,MINAS GERAIS,IPIRANGA,BELO HORIZONTE,MG,SIM
2017-01-13,6.35,2.1,MANHA,FEMININO,DIVORCIADO,ESPECIALIZACAO,MG,MINAS GERAIS,VILA AURORA,BOM DESPACHO,MG,SIM
