dia_da_prova_realizada,nota,nota_redacao,horario_da_prova,sexo,estado_civil,escolaridade,estado_realizado_em,cidade_realizado_em,bairro,cidade_nascimento,estado_nascimento,APROVADO
2017-01-14,2.25,0.0,NOITE,FEMININO,SOLTEIRO,SUPERIOR INCOMPLETO,MG,MINAS GERAIS,SANTO ANTONIO,SETE LAGOAS,MG,NAO
2017-01-13,2.25,0.0,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,MONTREAL,MONTES CLAROS,MG,NAO
2017-01-01,2.25,0.0,NOITE,FEMININO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,PADRE TEODORO,MATOZINHOS,MG,NAO
2017-01-16,2.25,0.0,MANHA,FEMININO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,INDUSTRIAS,SETE LAGOAS,MG,NAO
2017-01-16,2.25,0.0,NOITE,FEMININO,SOLTEIRO,SUPERIOR INCOMPLETO,MG,MINAS GERAIS,JK,SETE LAGOAS,MG,NAO
2017-03-01,2.0,0.0,MANHA,FEMININO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,JARDIM ARIZONA,CORONEL FABRICIANO,MG,NAO
2017-01-15,2.0,0.0,NOITE,FEMININO,CASADO,ENSINO MEDIO,MG,MINAS GERAIS,ELDORADO,ITABIRA,MG,NAO
2017-09-01,2.0,0.0,NOITE,MASCULINO,SOLTEIRO,SUPERIOR INCOMPLETO,MG,MINAS GERAIS,CENTRO,SETE LAGOAS,MG,NAO
2017-01-14,2.0,0.0,NOITE,FEMININO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,SANTO ANTONIO,SETE LAGOAS,MG,NAO
2017-07-01,2.0,0.0,NOITE,FEMININO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,SAO DIMAS,SETE LAGOAS,MG,NAO
2017-01-16,2.0,0.0,NOITE,FEMININO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,INTERLAGOS,SETE LAGOAS,MG,NAO
2017-01-15,2.0,0.0,NOITE,FEMININO,CASADO,SUPERIOR,MG,MINAS GERAIS,GLORIA,SETE LAGOAS,MG,NAO
2017-01-17,2.0,0.0,MANHA,MASCULINO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,IPORANGA,SETE LAGOAS,MG,NAO
2017-01-16,1.75,0.0,NOITE,FEMININO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,VOLTA DO BREJO,CONTAGEM,MG,NAO
2017-01-16,1.75,0.0,MANHA,FEMININO,SOLTEIRO,NIVEL TECNICO,MG,MINAS GERAIS,CENTRO,CAETA,MG,NAO
2017-06-01,1.75,0.0,MANHA,MASCULINO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,JK,SETE LAGOAS,MG,NAO
2017-09-01,1.5,0.0,NOITE,MASCULINO,SOLTEIRO,SUPERIOR INCOMPLETO,MG,MINAS GERAIS,LUXEMBURGO,SETE LAGOAS,MG,NAO
2017-01-16,4.25,0.0,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,RURAL,CAMPO GRANDE,AL,NAO
2017-01-15,4.0,0.0,MANHA,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,PANAMBI VERA,PONTA PORA,MS,NAO
2017-01-14,4.0,0.0,NOITE,FEMININO,CASADO,SUPERIOR,MS,MATO GROSSO DO SUL,JARDIM NOVO HORIZONTE,IGUATEMI,MS,NAO
2017-10-01,3.75,0.0,MANHA,FEMININO,CASADO,SUPERIOR INCOMPLETO,MS,MATO GROSSO DO SUL,CEREJO,BARREIRAS,BA,NAO
2017-01-16,3.5,0.0,MANHA,FEMININO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,VILA ROSA,DOURADOS,MS,NAO
2017-01-14,3.5,0.0,MANHA,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,VILA SAO FRANCISCO,GLA3RIA DE DOURADOS,MS,NAO
2017-01-14,3.5,0.0,MANHA,FEMININO,SOLTEIRO,SUPERIOR,MS,MATO GROSSO DO SUL,JARDIM CLIMAX,MARACAJU,MS,NAO
2017-05-01,3.5,0.0,NOITE,MASCULINO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,DOURADOS,DOURADOS,MS,NAO
2017-03-01,3.5,0.0,MANHA,MASCULINO,CASADO,ESPECIALIZACAO,MS,MATO GROSSO DO SUL,JARDIM VITORIA,DOURADOS,MS,NAO
2017-07-01,3.5,0.0,NOITE,FEMININO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,CENTRO,MARACAJU,MS,NAO
2017-01-13,3.5,0.0,MANHA,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,CONJUNTO HABITACIONAL IZIDRO PEDROSO,BELO HORIZONTE,MG,NAO
2017-10-01,3.5,0.0,NOITE,MASCULINO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,CENTRO,CLEVELANDIA,PR,NAO
2017-01-16,3.5,0.0,NOITE,MASCULINO,SEPARADO,SUPERIOR,MS,MATO GROSSO DO SUL,CENTRO,FATIMA DO SUL,MS,NAO
2017-06-01,3.5,0.0,NOITE,FEMININO,SOLTEIRO,SUPERIOR,MS,MATO GROSSO DO SUL,JARDIM CARAMURU,ALTA FLORESTA,MT,NAO
2017-10-01,3.5,0.0,NOITE,FEMININO,SOLTEIRO,DOUTORADO,MS,MATO GROSSO DO SUL,CONJUNTO RESIDENCIAL MONTE CARLO,RIO BRILHANTE,MS,NAO
2017-07-01,3.5,0.0,NOITE,MASCULINO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,FLOR DE MAIO,ITAPORA,MS,NAO
2017-01-13,3.5,0.0,NOITE,FEMININO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,CENTRO,FATIMA DO SUL,MS,NAO
2017-10-01,3.5,0.0,NOITE,FEMININO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,JARDIM AGUA BOA,DOURADOS,MS,NAO
2017-12-01,3.5,0.0,NOITE,MASCULINO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,CENTRO EDUCACIONAL II,FATIMA DO SUL,MS,NAO
2017-10-01,3.5,0.0,MANHA,MASCULINO,SOLTEIRO,SUPERIOR,MS,MATO GROSSO DO SUL,VILA ROMA II,PONTA PORA,MS,NAO
2017-05-01,3.5,0.0,MANHA,MASCULINO,SOLTEIRO,SUPERIOR,MS,MATO GROSSO DO SUL,VILA INDUSTRIAL,AMAMBAI,MS,NAO
2017-03-01,3.5,0.0,MANHA,FEMININO,CASADO,MESTRADO,MS,MATO GROSSO DO SUL,VILA SANTA CATARINA,CAMPO GRANDE,AL,NAO
2017-01-16,3.5,0.0,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,VILA GUARANI,RIO BRILHANTE,MS,NAO
2017-12-01,3.5,0.0,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,JARDIM NOVO HORIZONTE,DOURADOS,MS,NAO
2017-10-01,3.5,0.0,MANHA,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,VILA UBIRATAN,DOURADOS,MS,NAO
2017-01-16,3.5,0.0,MANHA,FEMININO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,IGUASSU 2,FATIMA DO SUL,MS,NAO
2017-12-01,3.5,0.0,NOITE,FEMININO,SOLTEIRO,NIVEL TECNICO,MS,MATO GROSSO DO SUL,CENTRO,GLA3RIA DE DOURADOS,MS,NAO
2017-01-15,3.5,0.0,MANHA,FEMININO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,CENTRO,DOURADOS,MS,NAO
2017-01-16,3.5,0.0,NOITE,MASCULINO,SOLTEIRO,SUPERIOR INCOMPLETO,MS,MATO GROSSO DO SUL,VILA TOSCABA,CAMPO GRANDE,AL,NAO
2017-09-01,3.5,0.0,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,VILA SAO FRANCISCO,MARACAJU,MS,NAO
2017-03-01,3.25,0.0,NOITE,MASCULINO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,CENTRO EDUCACIONAL,FATIMA DO SUL,MS,NAO
2017-01-13,3.25,0.0,MANHA,MASCULINO,CASADO,NIVEL TECNICO,MS,MATO GROSSO DO SUL,CANAA I,FATIMA DO SUL,MS,NAO
2017-05-01,3.25,0.0,NOITE,MASCULINO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,CENTRO,ITAPORA,MS,NAO
2017-01-14,3.25,0.0,NOITE,FEMININO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,JARDIM NOVO HORIZONTE,DOURADOS,MS,NAO
2017-03-01,3.25,0.0,MANHA,FEMININO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,CENTRO,GLA3RIA DE DOURADOS,MS,NAO
2017-01-14,3.25,0.0,NOITE,MASCULINO,SOLTEIRO,SUPERIOR INCOMPLETO,MS,MATO GROSSO DO SUL,JARDIM NOVO HORIZONTE,DOURADOS,MS,NAO
2017-10-01,3.25,0.0,MANHA,MASCULINO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,CENTRO,DOURADOS,MS,NAO
2017-01-15,3.25,0.0,NOITE,FEMININO,SOLTEIRO,SUPERIOR,MS,MATO GROSSO DO SUL,NERI LIMA,RIO BRILHANTE,MS,NAO
2017-12-01,3.25,0.0,MANHA,FEMININO,SOLTEIRO,SUPERIOR,MS,MATO GROSSO DO SUL,JARDIM FLAMBOYANT,MUNDO NOVO,BA,NAO
2017-01-14,3.25,0.0,MANHA,MASCULINO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,JARDIM ITALIA,IGUATEMI,MS,NAO
2017-01-14,3.25,0.0,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,CENTRO,DOURADOS,MS,NAO
2017-07-01,3.25,0.0,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,VILA ROSA,DOURADOS,MS,NAO
2017-01-15,3.25,0.0,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,COHAFABA III PLANO,DOURADOS,MS,NAO
2017-01-15,3.0,0.0,NOITE,FEMININO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,JARDIM COPACABANA,ITAPORA,MS,NAO
2017-10-01,3.0,0.0,MANHA,MASCULINO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,JARDIM FLORIDA,DOURADOS,MS,NAO
2017-12-01,3.0,0.0,NOITE,MASCULINO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,PARQUE DAS NACOES II,DOURADOS,MS,NAO
2017-01-16,3.0,0.0,NOITE,MASCULINO,CASADO,SUPERIOR INCOMPLETO,MS,MATO GROSSO DO SUL,VILA CUIABA,GUARARAPES,SP,NAO
2017-10-01,3.0,0.0,NOITE,FEMININO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,JARDIM HARRISOM DE FIGUEREDO,SAO JOSA DOS QUATRO MARCOS,MT,NAO
2017-05-01,3.0,0.0,NOITE,FEMININO,CASADO,SUPERIOR,MS,MATO GROSSO DO SUL,JARDIM MARCIA,DOURADOS,MS,NAO
2017-02-01,3.0,0.0,NOITE,MASCULINO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,CAMPO DOURADO,DOURADOS,MS,NAO
2017-09-01,3.0,0.0,MANHA,MASCULINO,DIVORCIADO,SUPERIOR INCOMPLETO,MS,MATO GROSSO DO SUL,VILA PIONEIRA I,ITAPORA,MS,NAO
2017-09-01,3.0,0.0,MANHA,FEMININO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,JARDIM GUANABARA,DOURADOS,MS,NAO
2017-03-01,3.0,0.0,NOITE,FEMININO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,VILA ROSA,DOURADOS,MS,NAO
2017-09-01,3.0,0.0,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,NOVO PARQUE ALVORADA,COSTA RICA,MS,NAO
2017-02-01,3.0,0.0,NOITE,FEMININO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,CANAA III,DOURADOS,MS,NAO
2017-01-14,3.0,0.0,NOITE,FEMININO,SOLTEIRO,SUPERIOR INCOMPLETO,MS,MATO GROSSO DO SUL,JARDIM AGUA BOA,ITA,SC,NAO
2017-01-14,3.0,0.0,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,JARDIM HILDA,DOURADOS,MS,NAO
2017-05-01,3.0,0.0,MANHA,FEMININO,SOLTEIRO,NIVEL TECNICO,MS,MATO GROSSO DO SUL,JARDIM RASSLEM,MARACAJU,MS,NAO
2017-01-14,3.0,0.0,MANHA,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,JARDIM AMERICA,DOURADOS,MS,NAO
2017-01-16,2.75,0.0,MANHA,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,CENTRO,PONTA PORA,MS,NAO
2017-10-01,2.75,0.0,NOITE,FEMININO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,MUTUM,IVINHEMA,MS,NAO
2017-01-15,2.75,0.0,NOITE,FEMININO,VIUVO,ESPECIALIZACAO,MS,MATO GROSSO DO SUL,COHAFABA III PLANO,COLORADO,PR,NAO
2017-12-01,2.75,0.0,MANHA,FEMININO,SOLTEIRO,SUPERIOR,MS,MATO GROSSO DO SUL,JARDIM GUANABARA,FATIMA DO SUL,MS,NAO
2017-01-15,2.75,0.0,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,CENTRO,PORECATU,PR,NAO
2017-02-01,2.75,0.0,NOITE,FEMININO,SOLTEIRO,SUPERIOR,MS,MATO GROSSO DO SUL,VILA CUIABA,DOURADOS,MS,NAO
2017-01-16,2.75,0.0,NOITE,FEMININO,SOLTEIRO,SUPERIOR INCOMPLETO,MS,MATO GROSSO DO SUL,BAIRRO DA MOOCA,PONTA PORA,MS,NAO
2017-10-01,2.75,0.0,MANHA,FEMININO,DIVORCIADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,PARQUE ALVORADA,RANCHARIA,SP,NAO
2017-07-01,2.75,0.0,NOITE,FEMININO,CASADO,SUPERIOR,MS,MATO GROSSO DO SUL,ALTOS DO INDAIA,DOURADOS,MS,NAO
2017-08-01,2.75,0.0,MANHA,MASCULINO,SOLTEIRO,SUPERIOR INCOMPLETO,MS,MATO GROSSO DO SUL,CENTRO,CAMPO GRANDE,AL,NAO
2017-03-01,2.75,0.0,MANHA,MASCULINO,CASADO,MESTRADO,MS,MATO GROSSO DO SUL,VILA SANTA CATARINA,GOIANIA,GO,NAO
2017-07-01,2.75,0.0,MANHA,MASCULINO,SOLTEIRO,SUPERIOR,MS,MATO GROSSO DO SUL,CENTRO,JUTI,MS,NAO
2017-01-14,2.75,0.0,NOITE,MASCULINO,SOLTEIRO,SUPERIOR INCOMPLETO,MS,MATO GROSSO DO SUL,ALDEIA JAGUAPIRU,DOURADOS,MS,NAO
2017-12-01,2.75,0.0,NOITE,FEMININO,SOLTEIRO,SUPERIOR,MS,MATO GROSSO DO SUL,VILA VARGAS,DOURADOS,MS,NAO
2017-03-01,2.75,0.0,NOITE,FEMININO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,JARDIM GUAICURUS,PARAPUA,SP,NAO
2017-01-15,2.5,0.0,NOITE,FEMININO,CASADO,NIVEL TECNICO,MS,MATO GROSSO DO SUL,SANTA FELICIDADE,IGUATEMI,MS,NAO
2017-06-01,2.5,0.0,NOITE,MASCULINO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,CAMPO DOURADO,COXIM,MS,NAO
2017-01-15,2.5,0.0,NOITE,MASCULINO,DIVORCIADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,VILA TOSCANA,PALOTINA,PR,NAO
2017-03-01,2.5,0.0,MANHA,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,JARDIM VITORIA,DOURADOS,MS,NAO
2017-01-15,2.5,0.0,MANHA,FEMININO,CASADO,SUPERIOR,MS,MATO GROSSO DO SUL,JARDIM NOVA ESPERANCA,VILHENA,RO,NAO
2017-01-16,2.5,0.0,NOITE,MASCULINO,SOLTEIRO,SUPERIOR,MS,MATO GROSSO DO SUL,DISTRITO DE PANAMBI,DOURADOS,MS,NAO
2017-01-14,2.5,0.0,NOITE,FEMININO,SOLTEIRO,SUPERIOR,MS,MATO GROSSO DO SUL,JARDIM AGUA BOA,CORONEL SAPUCAIA,MS,NAO
2017-01-15,2.5,0.0,NOITE,FEMININO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,COHAFABA III PLANO,PIMENTA BUENO,RO,NAO
2017-09-01,2.25,0.0,MANHA,MASCULINO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,JARDIM GUANABARA,PONTES E LACERDA,MT,NAO
2017-01-13,2.25,0.0,NOITE,MASCULINO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,JARDIM SANTA TERRA,DOURADOS,MS,NAO
2017-10-01,2.25,0.0,MANHA,MASCULINO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,JARDIM MONTE LIBANO,DOURADOS,MS,NAO
2017-01-15,2.25,0.0,MANHA,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,VILA CACHOEIRINHA,DOURADOS,MS,NAO
2017-08-01,2.0,0.0,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,CENTRO,DOURADOS,MS,NAO
2017-01-14,2.0,0.0,NOITE,MASCULINO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,JARDIM COLIBRI,DOURADOS,MS,NAO
2017-10-01,2.0,0.0,MANHA,FEMININO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,JARDIM SAO PEDRO,PONTA PORA,MS,NAO
2017-01-14,2.0,0.0,NOITE,FEMININO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,JARDIM PAULISTA,DOURADOS,MS,NAO
2017-01-16,2.0,0.0,MANHA,FEMININO,SOLTEIRO,SUPERIOR,MS,MATO GROSSO DO SUL,IGUASSU 2,FATIMA DO SUL,MS,NAO
2017-03-01,2.0,0.0,MANHA,MASCULINO,SOLTEIRO,SUPERIOR INCOMPLETO,MS,MATO GROSSO DO SUL,JARDIM IPANEMA,DOURADOS,MS,NAO
2017-09-01,2.0,0.0,NOITE,FEMININO,CASADO,SUPERIOR INCOMPLETO,MS,MATO GROSSO DO SUL,JARDIM COLIBRI,MARI,PB,NAO
2017-01-14,2.0,0.0,MANHA,FEMININO,SOLTEIRO,SUPERIOR,MS,MATO GROSSO DO SUL,CENTRO,FATIMA DO SUL,MS,NAO
2017-01-14,2.0,0.0,MANHA,FEMININO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,VILA CUIABA,CAMPO GRANDE,AL,NAO
2017-01-16,2.0,0.0,MANHA,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,CENTRO,RIO BRILHANTE,MS,NAO
2017-01-13,1.75,0.0,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,JARDIM COLIBRI,DOURADOS,MS,NAO
2017-01-15,5.4,1.9,NOITE,FEMININO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,PORTO BELLO,CAMPO GRANDE,AL,SIM
2017-01-13,5.3,1.8,NOITE,MASCULINO,SOLTEIRO,SUPERIOR,MS,MATO GROSSO DO SUL,FLORIPES OLEGARIO DE LIMA,IVINHEMA,MS,SIM
2017-02-01,5.3,1.8,NOITE,MASCULINO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,CENTRO,MARACAJU,MS,SIM
2017-05-01,5.2,1.7,NOITE,MASCULINO,SOLTEIRO,NIVEL TECNICO,MS,MATO GROSSO DO SUL,ALTO MARACAJU,MARACAJU,MS,SIM
2017-08-01,5.2,1.7,NOITE,FEMININO,SOLTEIRO,SUPERIOR INCOMPLETO,MS,MATO GROSSO DO SUL,PRATEADA,MARACAJU,MS,SIM
2017-01-16,5.2,1.7,MANHA,FEMININO,SOLTEIRO,SUPERIOR INCOMPLETO,MS,MATO GROSSO DO SUL,OVIDIO,MARACAJU,MS,SIM
2017-01-16,5.15,1.9,NOITE,FEMININO,SEPARADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,CATULINO RODRIGUES,RIO BRILHANTE,MS,SIM
2017-08-01,5.15,1.9,NOITE,FEMININO,SOLTEIRO,SUPERIOR INCOMPLETO,MS,MATO GROSSO DO SUL,NENE FERNANDES,MARACAJU,MS,SIM
2017-01-14,5.1,1.6,NOITE,FEMININO,SOLTEIRO,SUPERIOR INCOMPLETO,MS,MATO GROSSO DO SUL,OLIDIA ROCHA,MARACAJU,MS,SIM
2017-01-13,5.0,1.5,NOITE,MASCULINO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,SAO RAFAEL,MARINGA,PR,SIM
2017-01-16,5.0,1.5,NOITE,MASCULINO,SOLTEIRO,SUPERIOR,MS,MATO GROSSO DO SUL,CENTRO,PEREIRA BARRETO,SP,SIM
2017-08-01,4.95,1.7,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,JUQUITA,CAMPO GRANDE,AL,NAO
2017-01-16,4.9,1.4,MANHA,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,CENTRO,MARACAJU,MS,NAO
2017-05-01,4.85,1.6,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,VILA MORENINHA,MARACAJU,MS,NAO
2017-12-01,4.8,1.3,MANHA,MASCULINO,SOLTEIRO,SUPERIOR INCOMPLETO,MS,MATO GROSSO DO SUL,FLORIPES,MARACAJU,MS,NAO
2017-09-01,4.7,1.2,NOITE,FEMININO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,CAMBARAI,MARACAJU,MS,NAO
2017-05-01,4.65,1.4,MANHA,FEMININO,SOLTEIRO,SUPERIOR,MS,MATO GROSSO DO SUL,CAMBARAI,DOURADOS,MS,NAO
2017-07-01,4.55,1.3,NOITE,MASCULINO,CASADO,SUPERIOR,MS,MATO GROSSO DO SUL,VILA MORENINHA,CASCAVEL,CE,NAO
2017-06-01,4.55,1.3,NOITE,MASCULINO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,PORTO BELO,JARDIM,CE,NAO
2017-12-01,4.55,1.3,NOITE,MASCULINO,CASADO,ESPECIALIZACAO,MS,MATO GROSSO DO SUL,CENTRO,CAMPO GRANDE,AL,NAO
2017-05-01,4.0,0.0,NOITE,FEMININO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,VILA JUQUITA,CAMPO GRANDE,AL,NAO
2017-09-01,3.5,0.0,NOITE,MASCULINO,CASADO,SUPERIOR,MS,MATO GROSSO DO SUL,CAMBARAI,MARACAJU,MS,NAO
2017-01-16,3.0,0.0,MANHA,MASCULINO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,CONJUNTO IBARRA,ITAPORA,MS,NAO
2017-01-15,3.0,0.0,MANHA,MASCULINO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,BAIRRO,NIOAQUE,MS,NAO
2017-01-14,3.0,0.0,NOITE,MASCULINO,CASADO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,CENTRO,MARACAJU,MS,NAO
2017-05-01,3.0,0.0,MANHA,MASCULINO,CASADO,SUPERIOR INCOMPLETO,MS,MATO GROSSO DO SUL,EMA RIGO,CAMPO GRANDE,AL,NAO
2017-02-01,3.0,0.0,NOITE,FEMININO,CASADO,ESPECIALIZACAO,MS,MATO GROSSO DO SUL,CENTRO,MARACAJU,MS,NAO
2017-01-14,3.0,0.0,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,EGIDIO RIBEIRO,MARACAJU,MS,NAO
2017-01-16,3.0,0.0,NOITE,FEMININO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,PARAGUAI,MARACAJU,MS,NAO
2017-06-01,3.0,0.0,NOITE,FEMININO,SOLTEIRO,SUPERIOR,MS,MATO GROSSO DO SUL,CENTRO,AUGUSTO PESTANA,RS,NAO
2017-06-01,3.0,0.0,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,ALTO MARACAJU,MARACAJU,MS,NAO
2017-09-01,3.0,0.0,NOITE,FEMININO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,JUQUITA,MARACAJU,MS,NAO
2017-01-15,3.0,0.0,NOITE,FEMININO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,OLIDIA ROCHA,DOURADOS,MS,NAO
2017-08-01,3.0,0.0,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,MORENINHA,MARACAJU,MS,NAO
2017-08-01,3.0,0.0,NOITE,FEMININO,SOLTEIRO,SUPERIOR INCOMPLETO,MS,MATO GROSSO DO SUL,JOSE BREJAO,MAUA,SP,NAO
2017-01-15,3.0,0.0,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,SAN RAPHAEL,SAO JOSA DOS PINHAIS,PR,NAO
2017-06-01,2.75,0.0,NOITE,MASCULINO,CASADO,SUPERIOR INCOMPLETO,MS,MATO GROSSO DO SUL,CENTRO,MARACAJU,MS,NAO
2017-12-01,2.75,0.0,NOITE,MASCULINO,CASADO,SUPERIOR INCOMPLETO,MS,MATO GROSSO DO SUL,PORTO BELO,ALEGRE,ES,NAO
2017-05-01,2.75,0.0,NOITE,FEMININO,CASADO,SUPERIOR,MS,MATO GROSSO DO SUL,FORTALEZA,MARACAJU,MS,NAO
2017-09-01,2.75,0.0,MANHA,FEMININO,DIVORCIADO,SUPERIOR,MS,MATO GROSSO DO SUL,BAIRRO PARAGUAI,MARACAJU,MS,NAO
2017-01-13,2.75,0.0,NOITE,FEMININO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,JUQUITA,MARACAJU,MS,NAO
2017-01-15,2.75,0.0,MANHA,FEMININO,SOLTEIRO,ENSINO MEDIO,MS,MATO GROSSO DO SUL,NENE FERNANDES,MARACAJU,MS,NAO
2017-01-16,2.75,0.0,NOITE,MASCULINO,SOLTEIRO,SUPERIOR INCOMPLETO,MS,MATO GROSSO DO SUL,JUQUITA,MARACAJU,MS,NAO
2017-01-15,2.75,0.0,MANHA,FEMININO,SOLTEIRO,SUPERIOR,MS,MATO GROSSO DO SUL,PARAGUAI,SIDROLANDIA,MS,NAO
